[LOG] System::create                           : Header version = 2.00.08. Current version = 2.00.08.
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] SystemI::createSound                     : filename = Assets/Fmod_WitchGame/Build/Desktop/Master.bank : mode 02010082
[LOG] SystemI::createSound                     : FMOD_NONBLOCKING specified.  Putting into queue to be opened asynchronously!
[LOG] SystemI::createSound                     : setdata soundi = 0000020E21116618 : node = 00000210F5AE6BD0
[LOG] SystemI::createSound                     : add node to async list : head = 00000210A76FA3D8.  list count = 0
[LOG] AsyncThread::threadFunc                  : Starting Asynchronous operation on sound 0000020E21116618
[LOG] SystemI::createSoundInternal             :     Create name='Assets/Fmod_WitchGame/Build/Desktop/Master.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :     exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :     exinfo->length             = 8292480
[LOG] SystemI::createSoundInternal             :     exinfo->fileoffset         = 70816
[LOG] SystemI::createSoundInternal             :     exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :     exinfo->inclusionlist      = 00000210F5AE6CE0
[LOG] SystemI::createSoundInternal             :     exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :     exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :     exinfo->initialseekposition = 1000
[LOG] SystemI::createSoundInternal             :     exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :     Stream 0/1: name='Tree Rustle', format=2, channels=2, frequency=48000, lengthbytes=286176, lengthpcm=1880816, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.798828.
[LOG] AsyncThread::threadFunc                  : Finished Asynchronous operation on sound 0000020E21116618
[LOG] SoundI::getSubSound                      : sound 0000020E21116618.  Subsound index 0 / 1
[LOG] SoundI::release                          : Tree Rustle (0000020E21116618)
[LOG] SoundI::release                          :     Tree Rustle (00000210A76F93E8)
[LOG] SoundI::release                          :     Tree Rustle (0000020E21115538)
